food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,servings_unit,unit_serving_energy_kcal
OSR074,Paaner do pyaza,open_source_recipes,529.4881591796875,127.70478057861328,3.4062819480895996,4.215830326080322,10.870146751403809,2.1970484256744385,0.8370941281318665,bowl,296.11334228515625
OSR075,Cabbage manchurian (Pattagobhi manchurian),open_source_recipes,924.15869140625,224.2626190185547,4.848986625671387,0.6360360383987427,22.484838485717773,0.3337308466434479,0.37194082140922546,bowl,1660.4105224609375
OSR076,Gobi 65,open_source_recipes,1145.979248046875,278.29315185546875,3.5923678874969482,0.5613018274307251,29.109731674194336,0.28911104798316956,0.570992648601532,plate,2386.47509765625
OSR077,Paneer lababdar,open_source_recipes,437.86993408203125,105.47611999511719,3.3675763607025146,3.983811855316162,8.464692115783691,1.9636380672454834,1.1574817895889282,bowl,403.240478515625
OSR078,Roasted cauliflower steak,open_source_recipes,325.0861511230469,78.6754150390625,2.0246100425720215,2.0476601123809814,6.697648525238037,0.44335272908210754,3.532386541366577,cauliflower steak,84.47772216796875
OSR079,Sauteed radishes with green beans,open_source_recipes,392.9405822753906,94.32460021972656,6.036933898925781,2.4131810665130615,6.608610153198242,1.777389645576477,3.5188987255096436,plate,91.10576629638672
OSR080,Garlic chutney/Poondu chutney (Lahasun ki chutney),open_source_recipes,1059.365966796875,255.508056640625,20.43686294555664,3.336231231689453,17.551773071289062,13.359962463378906,5.146976470947266,small bowl,202.830810546875
OSR081,Schezwan chutney,open_source_recipes,849.30517578125,205.1857452392578,10.791571617126465,3.3259973526000977,17.722034454345703,5.656063556671143,5.7224040031433105,box,1553.256103515625
OSR083,Onion chutney (Pyaaz ki chutney/Vengaya chutney),open_source_recipes,597.2565307617188,143.93809509277344,13.519841194152832,2.9694440364837646,8.380476951599121,6.804988384246826,4.601819038391113,cup,75.50753021240234
OSR085,Dates chutney (Khajoor ki chutney),open_source_recipes,432.8609313964844,103.57244110107422,21.691532135009766,1.068406581878662,1.1223781108856201,18.67667007446289,3.411778450012207,small bowl,273.25518798828125
OSR086,Chicken salad,open_source_recipes,1404.729736328125,338.1940612792969,1.3028947114944458,15.32790470123291,30.256547927856445,0.9619534611701965,1.9957489967346191,bowl,835.3392944335938
OSR087,Macaroni salad,open_source_recipes,1095.9395751953125,262.1925964355469,21.628450393676758,5.015699863433838,17.782337188720703,3.726341485977173,0.555027186870575,cup,422.23931884765625
OSR088,Cabbage raita (Pattagobhi raita),open_source_recipes,355.75555419921875,84.83695983886719,5.247120380401611,3.2444281578063965,5.759586334228516,4.214109420776367,0.9255675077438354,bowl,196.94900512695312
OSR089,Pomegranate raita (Anaar ka raita),open_source_recipes,304.9947814941406,72.6445083618164,7.151958465576172,4.047695159912109,3.238284111022949,7.012253284454346,0.5999307036399841,bowl,104.78971099853516
OSR090,Onion raita (Pyaaz ka raita),open_source_recipes,301.32586669921875,71.55741119384766,7.862971305847168,4.8553996086120605,2.4252395629882812,7.069936275482178,0.6479872465133667,bowl,111.98735046386719
OSR091,Green chilli raita (Hari mirch ka raita),open_source_recipes,325.06475830078125,77.12936401367188,7.6609368324279785,5.578923225402832,2.9244089126586914,7.493175983428955,0.2587241530418396,bowl,79.0730209350586
OSR092,Kale salad,open_source_recipes,737.5276489257812,177.7139434814453,5.0063252449035645,4.855113506317139,15.32857894897461,3.3063366413116455,1.3593477010726929,bowl,95.3546371459961
OSR093,Spinach and paneer souffle ,open_source_recipes,779.4281616210938,186.19473266601562,9.640643119812012,7.561341285705566,13.49350357055664,2.805609703063965,1.068436861038208,souffle dish,839.7382202148438
OSR094,Masala souffle ,open_source_recipes,514.2320556640625,123.5146484375,8.020496368408203,6.383276462554932,7.365000247955322,1.836639165878296,1.2420134544372559,souffle dish,1833.7725830078125
OSR095,Chicken and cheese souffle,open_source_recipes,758.1141967773438,182.354248046875,3.4660613536834717,9.068145751953125,14.738247871398926,2.4645779132843018,0.2564961612224579,souffle dish,356.5025634765625
OSR096,Tamarind chutney (Chintapandu pachadi/Puli chutney),open_source_recipes,456.5388488769531,109.14761352539062,25.06587791442871,0.8776803612709045,0.4835139811038971,22.84941291809082,1.6482878923416138,ml,3.9525082111358643
OSR097,Pav bhaji masala,open_source_recipes,964.6375122070312,230.46640014648438,29.148942947387695,9.129295349121094,10.964405059814453,1.4812334775924683,24.304845809936523,gm,2.6157937049865723
OSR098,Green chutney,open_source_recipes,332.2904968261719,79.41742706298828,10.008160591125488,5.423238754272461,1.6046245098114014,0.918391227722168,5.836636066436768,glass jar,19.37586784362793
OSR099,Sago khitchdi/khichri (Sabudana khitchdi/khichri),open_source_recipes,785.649658203125,187.1644744873047,22.413801193237305,2.721275806427002,10.101280212402344,1.0335208177566528,1.8236956596374512,bowl,507.8895263671875
OSR100,Gram flour chilla/cheela (Besan chilla/cheela),open_source_recipes,575.2408447265625,135.9300994873047,21.02887725830078,7.802441120147705,2.852105140686035,1.8686106204986572,4.2509002685546875,cheela,70.78333282470703
OSR101,Vegetable namkeen jave,open_source_recipes,468.28582763671875,112.23060607910156,18.97719955444336,2.930877923965454,2.5060160160064697,1.0416624546051025,2.8592631816864014,plate,409.9671630859375
OSR102,Khakhra,open_source_recipes,743.9240112304688,178.4959716796875,27.66258430480957,4.775326251983643,5.3191657066345215,0.8809743523597717,5.433740615844727,khakhra,135.09913635253906
OSR103,Moong bean dosa (Pesarattu),open_source_recipes,1190.040771484375,285.9556884765625,31.906055450439453,12.318492889404297,11.665361404418945,2.9005160331726074,6.040430545806885,pesarattu,75.93962097167969
OSR104,Methi thepla,open_source_recipes,1442.6611328125,346.1560974121094,41.339027404785156,8.980030059814453,15.945419311523438,2.9823226928710938,7.560302734375,thepla,126.16130828857422
OSR105,Rice puttu (Ari puttu),open_source_recipes,342.9659729003906,81.98186492919922,11.821471214294434,1.260176181793213,3.125922441482544,0.3299214541912079,0.7560105323791504,puttu,344.40582275390625
OSR106,Buckwheat pancake (Khura),open_source_recipes,1090.9249267578125,263.2983093261719,27.277254104614258,2.9074223041534424,16.432849884033203,0.6405746340751648,0.5591700077056885,pancake,274.92730712890625
OSR107,Quinoa khichdi/khichri,open_source_recipes,267.1944274902344,64.01083374023438,8.831241607666016,3.178802013397217,1.591099739074707,0.6878358125686646,2.576716423034668,bowl,203.7144775390625
OSR108,Khakhra chaat,open_source_recipes,1484.3170166015625,358.6632995605469,16.642343521118164,4.5239996910095215,30.647899627685547,3.2619199752807617,3.041581869125366,plate,2996.461669921875
OSR110,Banana appam,open_source_recipes,1938.602783203125,469.8054504394531,20.057649612426758,1.1678863763809204,42.527591705322266,9.94823932647705,0.6738700270652771,appam,1364.197509765625
OSR111,Veg manchurian,open_source_recipes,2411.09423828125,585.6408081054688,6.818906784057617,0.889366090297699,61.65210723876953,0.7571099996566772,1.1610925197601318,plate,1141.692138671875
OSR112,Pav bhaji,open_source_recipes,401.6280822753906,96.52545928955078,11.993011474609375,2.660388708114624,4.317642688751221,2.0570600032806396,1.9795962572097778,,560.9789428710938
OSR113,Rice murukku,open_source_recipes,2454.307861328125,593.989990234375,33.2929573059082,5.414796352386475,48.2248420715332,0.1703379601240158,2.182837963104248,piece,183.28834533691406
OSR114,Bhel puri ,open_source_recipes,2104.68603515625,509.886962890625,16.467708587646484,3.5175111293792725,47.91156768798828,3.4082601070404053,2.2402548789978027,plate,3573.644775390625
OSR115,Semolina dhokla (Suji/Rava dhokla),open_source_recipes,814.0942993164062,194.91468811035156,30.864978790283203,5.435585975646973,5.2013959884643555,1.847110629081726,5.1176629066467285,plate,195.35812377929688
OSR116,Spicy corn chaat ,open_source_recipes,1982.0062255859375,479.799072265625,11.446920394897461,4.6070170402526855,46.551841735839844,0.9480851292610168,2.1678731441497803,plate,2659.16650390625
OSR118,Jackfruit fritters (Ponsa mulik/Kathal ka pakora),open_source_recipes,2467.54736328125,597.7876586914062,24.002283096313477,2.3409385681152344,54.40557861328125,11.48095989227295,1.5007253885269165,mulik/fritter,160.1217041015625
OSR119,Banana chips (Kele ke chips),open_source_recipes,2739.07568359375,665.6660766601562,7.322083950042725,0.36683785915374756,70.45634460449219,4.372707366943359,0.6485693454742432,bowl,1134.1285400390625
OSR120,Wheat cake,open_source_recipes,1314.8970947265625,314.6291809082031,41.13339614868164,4.789560317993164,14.950458526611328,25.787090301513672,2.762955904006958,piece,210.2116241455078
OSR121,Mango cheesecake,open_source_recipes,518.5800170898438,152.45855712890625,20.06123161315918,2.3884427547454834,7.303961277008057,15.359848976135254,1.1448510885238647,slice,265.5637512207031
OSR122,Carrot cake (Gajar ka cake),open_source_recipes,1070.73583984375,255.58706665039062,35.9842414855957,5.599839687347412,10.270025253295898,23.95684814453125,2.9345622062683105,slice,255.4592742919922
